tipo,titulo,direccion,precio,terreno,construccion,hab,baños,estac,pisc
Apartamento En Renta,Apartamento En Alquiler En Lecheria Resd Tepui Caribe,"Diego Bautista Urbaneja, Lechería, Anzoategui",270.0,42.0,42.0,1.0,1.0,1.0,True
Casa En Venta,Casa Bote C,"sector aquavilla, Diego Bautista Urbaneja, Lechería, Anzoategui",2000.0,201.0,120.0,,,,False
Apartamento En Venta,Lujoso Apartamento Dúplex En Planta Baja Condominio Isla Marina,"Avenida La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",245000.0,194.0,164.0,,,,False
Apartamento En Renta,Alquiler Apartamento En El Conjunto Residencial Punta Canal En Lechería,"Sector la Salina, Diego Bautista Urbaneja, Lechería, Anzoategui",700.0,120.0,120.0,3.0,2.0,2.0,True
Apartamento En Renta,Se Alquila Hermoso Apartamento En El Conjunto Residencial Marina Del Rey,"1, Diego Bautista Urbaneja, Lechería, Anzoategui",350.0,46.0,46.0,1.0,1.0,1.0,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN PUERTO PRINCIPE,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,135.0,135.0,3.0,2.0,2.0,False
Casa En Venta,"Amplia Casa Equipada Y Amoblada En Una Excelente Zona, Muy Bien Ubicada","Neveri, Diego Bautista Urbaneja, Lechería, Anzoategui",295000.0,509.0,400.0,6.0,5.0,9.0,True
Apartamento En Venta,Lujoso Apartamento En Venta En El Conjunto Residential Doral Beach,"Diego Bautista Urbaneja, Lechería, Anzoategui",42000.0,120.0,120.0,,,,False
Penthouse En Venta,"Espacioso E Imponente PENTHOUSE En Residencias Oasis, Casco Central De Lechería","Calle Merey, Diego Bautista Urbaneja, Lechería, Anzoategui",250000.0,375.0,375.0,4.0,4.0,2.0,True
Apartamento En Venta,Apartamento En Venta En Lechería A Estrenar En El Prestigioso CR. Casa Mares,"Av. Principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",145000.0,96.0,96.0,3.0,2.0,2.0,True
Apartamento En Venta,Apartamento En Lechería En El CR Costa Guaica,"Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,86.0,86.0,,,,False
Local En Renta,Local A Pie De Calle Lechería,"Venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,30.0,30.0,,,,False
Oficinas En Venta,Oficina En Lechería,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",31000.0,26.0,26.0,,,,False
Local En Venta,Oficina En Venta Lechería,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",38000.0,29.0,29.0,,,,False
Oficinas En Renta,Oficina Lechería Alquiler,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,29.0,29.0,,,,False
Apartamento En Venta,En Venta Apartamento En El Conjunto Residencial Morro Humboldt,"avenida camejo octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",25000.0,83.0,83.0,2.0,2.0,1.0,False
Apartamento En Venta,"Apartamento C.R Alto Atlantis, Las Garzas","Calle Sur 4, Sector Las Garzas, Diego Bautista Urbaneja, Lechería, Anzoategui",40000.0,72.0,72.0,,,,False
Town House En Renta,TOWN HOUSE EN ALQUILER EN PUERTO PRINCIPE,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,120.0,120.0,3.0,3.0,1.0,False
Casa En Renta,Cómoda Y Acogedora Villa En Alquiler Vacacional,"Av Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,1.2,700.0,6.0,8.0,5.0,False
Oficinas En Venta,Moderna Oficina En Centro Comercial Venezuela Centro Lecheria,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,33.0,33.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA CR PEDREGAL SUITES,"Sector Peñon del Faro, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,40.0,40.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA CR PUERTO AVENTURA,"AV R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",83000.0,118.0,118.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA CR KYNAKI,"Av Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",450.0,95.0,95.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER CR OASIS,"VENECIA, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,94.0,94.0,,,,False
Casa Bote En Renta,Casa Bote C,"Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",700.0,120.0,120.0,,,,False
Apartamento En Venta,CONJUNTO RESIDENCIAL DORAL BEACH,"AVENIDA AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",24000.0,95.0,95.0,,,,False
Apartamento En Venta,"Apartamento Conjunto Res. Aquamarina Suites, Av. Bolivar, Lecheria","Av. B, Diego Bautista Urbaneja, Lechería, Anzoategui",79000.0,109.0,109.0,3.0,2.0,2.0,False
Casa En Venta,"Venta De Hermosa Casas Botes C, Lechería, Complejo Turístico El Morro","Av. Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",170000.0,206.0,206.0,4.0,4.0,2.0,False
Apartamento En Venta,En Venta Apartamento En Marina Del Rey,"MARINA DEL REY, Diego Bautista Urbaneja, Lechería, Anzoategui",80000.0,55.0,55.0,,,,False
Apartamento En Venta,En Venta Apartamento En Marina Del Rey,"MARINA DEL REY, Diego Bautista Urbaneja, Lechería, Anzoategui",70000.0,66.0,66.0,2.0,2.0,0.0,False
Town House En Venta,Town House En C.R Costa Del Sol,"Calle Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",170000.0,135.0,135.0,4.0,2.0,2.0,True
Apartamento En Venta,Apartamento En El Conjunto Residencial Marina Del Rey,"Av. Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",43000.0,66.0,66.0,2.0,1.0,3.0,True
Town House En Venta,Residencias Guaica House,"maria rosa, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,145.0,145.0,,,,False
Apartamento En Venta,EXCLUSIVO APARTAMENTO EN VENTA. EL MORRO,"Diego Bautista Urbaneja, Lechería, Anzoategui",350000.0,165.0,165.0,3.0,3.0,3.0,True
Casa En Venta,Amplia Casa Conjunto Residencial Guaica House Sector Morro IIILecheria,"Morro III, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,150.0,150.0,3.0,3.0,3.0,False
Casa En Venta,Lujosa Villa En Venta,"Diego Bautista Urbaneja, Lechería, Anzoategui",1300000.0,800.0,800.0,6.0,6.0,6.0,True
Apartamento En Renta,Cómodo Y Lindo Apartamento En Alquiler En Guaica Real,"Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,86.0,86.0,2.0,2.0,2.0,True
Apartamento En Venta,"Apartamento En Venta, Conjunto Residencial Mochima Puerto La Cruz","APAMATES, Diego Bautista Urbaneja, Lechería, Anzoategui",18500.0,81.0,81.0,,,,False
Casa En Venta,Casas Bote C Moderna Y Amoblada,"Av. Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",420000.0,200.0,391.0,4.0,4.0,3.0,False
Town House En Venta,Amplio Y Confortable Townhause En El Conjunto Residencial Villas Monterrey,"Calle Mara, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,0.0,235.0,,,,False
Apartamento En Renta,APTO EN ALQUILER EN EL CONJUNTO RESIDENCIAL MARINA MAR,"AVENIDA BARLOVENTO, Diego Bautista Urbaneja, Lechería, Anzoategui",600.0,90.0,90.0,2.0,2.0,1.0,False
Apartamento En Venta,"Apartamento En Venta Conjunto Residencial ALTO ATLANTIS, Lecheria","Calle sur, Diego Bautista Urbaneja, Lechería, Anzoategui",43000.0,77.0,77.0,21.0,2.0,2.0,False
Town House En Renta,TOWNHOUSE EN ALQUILER EN LECHERIA CR LAS MARINAS,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,273.0,273.0,,,,False
Apartamento En Venta,"*Con Alto Potencial En Una De Las Zonas Mas Prestigiosas ,","Av, Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,180.0,180.0,,,,False
Apartamento En Venta,Cómodo Y Lindo Apartamento En Venta En Guaica Real,"Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,86.0,86.0,2.0,2.0,2.0,True
Apartamento En Renta,Hermoso Y Amplio Apartamento Con Hermosa Vista A La Ciudad,"Calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",650.0,98.0,98.0,3.0,2.0,2.0,True
Casa En Venta,VILLA VACACIONAL,"LAS VILLAS DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,1.964,1.964,,,,False
Apartamento En Venta,CONJUNTO RESIDENCIAL MARINA MAR,"Avenida La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",210000.0,229.0,229.0,,,,False
Town House En Venta,TOWNHOUSE EN VENTA N LECHERIA CR LAS MARINAS,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",255000.0,273.0,273.0,,,,False
Local En Renta,LOCAL COMERCIAL LECHERIA,"LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",750.0,170.0,170.0,,,,False
Town House En Venta,Town House Conjunto Residencial La Caleta,"AV: Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",85.0,72.0,72.0,,,,False
Apartamento En Venta,Conveniente Apartamento En El Conjunto Residencial Madre Vieja,"Av. Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,0.0,92.0,,,,False
Local En Renta,"Local Comercial De 97m2 En Alquiler, Moderno Y Con Acabados De Primera","Avenida Bolivar, cruce con calle los almendrones, Diego Bautista Urbaneja, Lechería, Anzoategui",950.0,97.0,97.0,,,,False
